,1995,,,,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,
,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked
Argentina,5.882,0,0,16.893,7.059,0,0,16.062,6.975,0,0,16.939,6.8,0,0,15.85,5.407,0,0,18.938,3.487580128,0,0,24.51322115,0.811216825,0.846269404,0,50.03905859,0.155851852,0.832,34.99674074,12.736,0.178390089,0.904136484,32.1511746,13.90562589,0.155719235,1.274341641,33.08848754,15.75152188,0.062436331,0.481416976,52.55035983,18.63034406,0.056256504,0.436394381,55.16909469,21.8096384,0.045148162,0.866399593,55.731591,25.21175124,1.233111047,0.755291389,51.92896492,25.18527109,11.43112513,0.625920084,31.94952681,24.48291272,11.26446905,0.597131354,32.69275289,24.09587318,11.23602557,0.549447995,32.21638582,26.71377106,10.4036604,0.173868836,30.48134215,25.52679207,13.21812631,0.129780478,24.85342169,23.96045224,16.26901455,2.020030234,18.21086073,31.1401644,18.51995458,6.555159922,13.56394195,44.24433648,13.61067169,6.112115505,13.31161331,41.3301946,20.59624934,11.55985209,23.92556788,60.57997887
Australia,2.754615843,59.85705777,2.382370459,0,5.653766523,64.58034719,2.946329033,0,5.223978059,54.06817291,2.938487658,0,2.641439892,43.86018797,3.194299404,0,2.801120448,43.38479578,3.647970816,0,1.387116462,33.2907951,3.273594851,0,0,27.59218646,3.162135972,0,0,29.04939528,3.617045326,0,0,37.66067804,4.961286928,0,0,37.36932439,5.149009206,0,0,35.51812523,4.833394361,0,0,37.87281048,4.73410131,0,0,41.46534306,5.271018185,0,0,33.90993959,4.118616145,0,0,70.55435565,5.399568035,0,0,126.8436578,11.59597193,0,0,163.9377606,14.13607241,0,0,213.1811105,16.70991178,0,0,208.79907,16.36412412,0,0,238.1693139,19.24021615,0,0,244.9755171,20.09793174,0,0,278.1829999,21.80977829,0,0,362.6133167,26.10190685,0
Belgium,8.098961756,224.5885136,0,14.96740702,7.04610951,221.7113144,0,13.20824458,5.625883392,200.0862412,0,12.34816696,5.428654766,220.8951114,0,10.64916579,2.586899739,201.8311232,0,8.778581475,2.031450637,194.9808319,0,7.629850191,1.919714462,190.6775359,0,5.482153873,2.279047819,232.3324245,0,4.983011745,2.566557211,280.9209396,0,3.711922203,2.76123672,300.909289,0,2.462952874,2.385631709,264.5846408,0,2.73398608,0.022915844,296.4518636,0,2.748452522,4.581775357,336.1182099,0,2.737671132,4.324843424,321.9864997,0,3.897703549,4.652837799,355.3310285,0,7.182224143,4.54970604,350.799706,0,8.07282202,4.618967525,363.3563204,0,8.103118127,6.62752342,386.9547434,0,7.339094867,10.79713143,417.8931182,0,7.00206868,9.953866699,374.495326,0,6.776981911,8.491017964,344.9232444,0,6.25955362,5.163908506,347.5680405,0,9.040581849,5.218277764,398.3559607,0,10.69033341
Brazil,29.07479909,20.14218009,0.463630744,4.759942304,15.51043972,46.22341961,0.192437217,20.96603483,76.69502911,54.7156292,0.107478728,31.18674429,140.3061647,4.013239553,0.11584609,22.17625155,152.1282477,21.973466,13.61525705,21.63073521,149.3188716,38.65761199,15.54507686,14.3812469,151.5284784,8.065843635,18.78872172,16.700129,84.27114104,2.180789786,22.08190901,20.42371781,158.5684833,7.488931277,34.09597526,16.50937653,175.5931681,17.56383194,45.40333333,10.58796553,226.592439,88.24767715,65.32982885,8.402495084,204.9139867,149.4606162,115.3293451,6.622206034,246.9065154,238.57859,182.7201378,6.583946515,202.9755577,163.2145394,159.2371504,5.757989271,296.5468761,261.2675785,229.5448931,5.63321467,322.4124011,353.6106858,271.9155251,5.513022501,301.2298175,354.0751807,282.6667254,5.446816093,212.9164913,373.0198935,331.9094274,5.314494008,171.697442,346.9171433,310.2975,4.838873097,161.5005191,327.9845518,302.1170255,4.851574813,160.6499729,247.3354095,229.3675796,4.544982258,270.0929602,319.7083303,304.5013899,4.612167614,338.5775831,369.6279489,317.5372322,4.522015153
Canada,0,179.3027523,4.036697248,0,0,197.5912409,5.109489051,0,0,202.4141781,6.140106056,0,0,186.6925065,6.718346253,0,0,199.7111615,7.83990097,0,0,191.8310235,8.728678038,0,0,170.7882051,9.077818819,0,0,168.8739624,10.07540714,0,0,199.0664385,13.48218453,0,0,199.9419184,15.54098905,0,0,201.6073577,17.30273337,0,0,198.8623632,18.68482289,0,0,225.8176261,24.27916454,0,0,190.4945145,21.31160963,0,0,299.8666794,26.88315399,0,0,364.1524574,30.52156469,0,0,392.7151669,31.94947616,0,0,417.7362659,34.98041579,0,0,406.9843956,34.80917466,0,0,373.7287404,33.86860054,0,0,319.4612504,29.84010372,0,0,352.897474,32.41456166,0,0,408.2216906,36.54704944,0
Chile,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0.363518451,...,...,0,1.16940857,...,...,0,2.092471947,...,...,0,2.030817881,...,...,0.346295026,2.759388488,...,...,0.588132441,3.875013909,...,...,1.540193117,6.885433327,...,...,2.465999103,12.3361872,...,...,3.940858359,16.57043685,...,...,5.333326369,21.68242791,...,...,6.28010921,21.98590958,...,...,7.974760447,21.86711778,...,...,9.430698108,21.67961659,...,...,17.48714952,25.75342055,...,...,...,...,...
Chinese Taipei,0,29.50164896,0,0,0,34.01526163,0,0,0,29.73780488,0,0,0,30.04028509,0,0,0,37.67888624,0,0,0,42.56591826,0,0,0,50.56452211,0,0,0,61.11568274,0,0,0,73.65067411,0,0,0,85.78990714,0,0,0,91.74923722,0,0,0,99.41656871,0,0,0,105.121352,0,0,0,109.9261515,0,0,0,119.7637,0,0,0,143.6579325,0,0,0,148.8665661,0,0,0,164.4272775,0,0,0,169.9671683,0,0,0,168.612786,0,0,0,166.6600759,0,0,0,170.9378248,0,0,0,188.6693195,0,0
Colombia,...,...,...,...,0,4.668496911,0.679796684,0.517639979,0,5.712371867,1.41749254,0.302317599,0,4.62338614,3.774069295,0.966628191,0,5.56055439,3.997923971,1.503706431,0,5.994850124,4.893279143,1.385658852,0,5.929913844,6.862009969,2.033360539,0,7.123384262,6.554407129,1.419597946,0,9.702722256,7.502564601,0.967563647,0,15.06735014,8.778324092,0.66889591,0,23.80344275,9.783689837,0.701694233,0,27.41891825,10.1545031,0.488596519,0,33.26569914,11.43376879,0.345315015,0,33.0274248,12.25272889,0.1446395,0,41.40556591,14.28616154,0,0,51.79359241,16.83460642,0,0,56.60925516,18.00066917,0,0,63.38315717,21.55675449,0,0,69.53908752,19.34721797,0,0,60.29149913,20.32619145,0,0,45.07107545,18.25449996,0,0,53.25489634,23.49804213,0,0,60.01273458,25.4547252,0
Czech Republic,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,2.003467111,0.13912966,0,0,2.628455822,0.132750294,0,0,3.998136041,0.13786676,0,0,7.39286165,0,0,0,12.44188285,0,0,0,17.56784333,0,0,0,19.83130276,0,0,0,28.22000633,0,0,0,39.16286128,0,0,1.445240771,36.53397304,0,0,5.027872706,39.64062602,0,0,4.9262719,43.30409909,0,0,7.283345961,42.10393032,0,0,9.175895082,47.04044066,0,0,10.4164052,45.23067137,0,0,10.83254757,41.36612079,0,0,11.23463719,39.19311237,0,0,8.251371215,43.18161285,0,0,7.836278157,54.38094366,0,0
